epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.511,1.24351,1.54348,1.22237,0.49526,0.45617,0.44292,0.2667,1.22985,1.32572,1.2365,0.000277213,0.000277213,0.000277213
2,797.504,1.27062,1.31267,1.24532,0.53419,0.45033,0.44186,0.25592,1.29166,1.30923,1.25624,0.000543893,0.000543893,0.000543893
3,1188.54,1.27168,1.29234,1.2443,0.54705,0.44898,0.47404,0.28252,1.25107,1.20752,1.22284,0.000799577,0.000799577,0.000799577
4,1579.44,1.23989,1.23009,1.22473,0.55616,0.47917,0.49127,0.29868,1.19726,1.12279,1.19194,0.00078352,0.00078352,0.00078352
5,1969.86,1.19523,1.18067,1.20329,0.60665,0.48852,0.52083,0.31668,1.16015,1.08295,1.15839,0.000767026,0.000767026,0.000767026
6,2360.72,1.16678,1.13044,1.18585,0.60758,0.50521,0.53433,0.33354,1.13056,1.05013,1.14687,0.000750533,0.000750533,0.000750533
7,2752.46,1.14239,1.09148,1.17419,0.62259,0.51462,0.54778,0.34776,1.10059,1.02131,1.12704,0.00073404,0.00073404,0.00073404
8,3142.7,1.11836,1.05801,1.16135,0.60006,0.52376,0.54941,0.35317,1.08657,0.9958,1.12028,0.000717546,0.000717546,0.000717546
9,3532.76,1.10135,1.03408,1.14984,0.64899,0.52624,0.5661,0.36093,1.09132,0.96784,1.12129,0.000701053,0.000701053,0.000701053
10,3923.94,1.08777,1.02008,1.14983,0.62256,0.55632,0.57746,0.37305,1.05414,0.9433,1.10392,0.000684559,0.000684559,0.000684559
11,4316.89,1.07325,0.99185,1.13586,0.65222,0.5449,0.58319,0.37943,1.04166,0.91545,1.0936,0.000668066,0.000668066,0.000668066
12,4708.6,1.06096,0.97684,1.12847,0.63792,0.55089,0.59153,0.38781,1.02578,0.91561,1.08768,0.000651573,0.000651573,0.000651573
13,5098.98,1.04531,0.95278,1.12223,0.64854,0.56318,0.5923,0.3921,1.0254,0.89475,1.08581,0.000635079,0.000635079,0.000635079
14,5490.11,1.03555,0.93729,1.11894,0.65238,0.57294,0.60591,0.39843,1.0154,0.87963,1.08131,0.000618586,0.000618586,0.000618586
15,5882.64,1.01649,0.91583,1.10712,0.6435,0.58409,0.60667,0.40322,0.99898,0.86495,1.06518,0.000602092,0.000602092,0.000602092
16,6274.06,1.01133,0.91118,1.10599,0.66162,0.57485,0.6173,0.41327,0.98624,0.85828,1.06131,0.000585599,0.000585599,0.000585599
17,6666.3,1.00388,0.89331,1.10253,0.66645,0.58691,0.6191,0.41823,0.98196,0.8343,1.06124,0.000569106,0.000569106,0.000569106
18,7058.6,0.9919,0.87834,1.09813,0.65719,0.59252,0.62133,0.41677,0.97218,0.82674,1.05217,0.000552612,0.000552612,0.000552612
19,7449.56,0.98919,0.86703,1.09133,0.66559,0.58203,0.62138,0.42583,0.96335,0.81611,1.04532,0.000536119,0.000536119,0.000536119
20,7841.17,0.97113,0.84897,1.08183,0.66092,0.59751,0.62354,0.42754,0.95721,0.81061,1.04428,0.000519625,0.000519625,0.000519625
21,8233.27,0.97092,0.84502,1.08222,0.67299,0.61067,0.64209,0.44154,0.94132,0.79737,1.03177,0.000503132,0.000503132,0.000503132
22,8625.61,0.95646,0.82984,1.07666,0.67727,0.59581,0.63774,0.43945,0.93514,0.78527,1.02933,0.000486639,0.000486639,0.000486639
